Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (INDIA),2010-2022,114,106,31,3958,122*,52.77,2865,138.15,1,36,4,352,116
RG Sharma (INDIA),2007-2022,147,139,17,3826,118,31.36,2739,139.68,4,29,10,344,182
MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173
Babar Azam (PAK),2016-2022,97,92,13,3270,122,41.39,2555,127.98,2,29,5,346,50
PR Stirling (IRE),2009-2022,121,120,9,3181,115*,28.65,2360,134.78,1,21,11,360,117
AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
DA Warner (AUS),2009-2022,99,99,11,2894,100*,32.88,2048,141.3,1,24,6,295,105
Mohammad Rizwan (PAK),2015-2022,78,67,15,2563,104*,49.28,2024,126.63,1,22,3,223,68
Mohammad Hafeez (PAK),2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76
JC Buttler (ENG),2011-2022,101,93,19,2496,101*,33.72,1738,143.61,1,18,6,221,104
EJG Morgan (ENG),2009-2022,115,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120
Shoaib Malik (ICC/PAK),2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69
KS Williamson (NZ),2011-2022,85,83,11,2357,95,32.73,1909,123.46,0,16,4,225,54
KL Rahul (INDIA),2016-2022,71,67,8,2260,110*,38.3,1623,139.24,2,22,5,190,99
Shakib Al Hasan (BAN),2006-2022,109,108,11,2243,84,23.12,1842,121.76,0,12,7,225,47
GJ Maxwell (AUS),2012-2022,98,90,14,2159,145*,28.4,1430,150.97,3,10,3,176,106
Q de Kock (SA),2012-2022,77,76,9,2156,79*,32.17,1592,135.42,0,14,5,222,78
DA Miller (SA/World),2010-2022,111,96,34,2147,106*,34.62,1489,144.19,2,6,1,141,103
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
Mahmudullah (BAN),2007-2022,121,113,23,2122,64*,23.57,1809,117.3,0,6,4,161,64
Mohammad Shahzad (AFG),2010-2021,70,70,3,2015,118*,30.07,1508,133.62,1,12,4,225,75
AD Hales (ENG),2011-2022,73,73,7,1987,116*,30.1,1450,137.03,1,11,5,221,63
KJ O'Brien (IRE),2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71
LRPL Taylor (NZ),2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71
CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
A Balbirnie (IRE),2015-2022,86,82,4,1810,83,23.2,1438,125.86,0,8,5,193,48
RD Berrington (SCOT),2008-2022,79,72,14,1784,100,30.75,1394,127.97,1,7,9,154,57
S Dhawan (INDIA),2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50
Tamim Iqbal (BAN/ICC/World),2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45
DJ Malan (ENG),2017-2022,55,53,8,1748,103*,38.84,1288,135.71,1,14,1,178,58
C Munro (NZ),2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107
Umar Akmal (PAK),2009-2019,84,79,14,1690,94,26,1377,122.73,0,8,10,122,55
Mohammad Nabi (AFG),2010-2022,104,96,16,1686,89,21.07,1204,140.03,0,4,6,114,89
AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60
H Masakadza (ZIM),2006-2019,66,66,2,1662,93*,25.96,1418,117.2,0,11,1,151,65
MS Dhoni (INDIA),2006-2019,98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52
MN Samuels (WI),2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69
SK Raina (INDIA),2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
Najibullah Zadran (AFG),2012-2022,86,76,25,1590,73,31.17,1120,141.96,0,8,4,101,88
MP O'Dowd (NED),2015-2022,58,57,4,1589,133*,29.98,1301,122.13,1,11,0,166,37
KA Pollard (WI),2008-2022,101,83,21,1569,75*,25.3,1161,135.14,0,6,3,94,99
MDKJ Perera (SL),2013-2021,60,59,1,1539,84,26.53,1172,131.31,0,12,1,144,51
F du Plessis (SA/World),2012-2020,50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50
LMP Simmons (WI),2007-2021,68,67,10,1527,91*,26.78,1264,120.8,0,9,6,140,68
JJ Roy (ENG),2014-2022,64,64,1,1522,78,24.15,1106,137.61,0,8,7,153,69
Mushfiqur Rahim (BAN),2006-2022,102,93,16,1500,72*,19.48,1304,115.03,0,6,8,126,37
KJ Coetzer (SCOT),2008-2021,70,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33
Ahmed Shehzad (PAK),2009-2019,59,59,2,1471,111*,25.8,1282,114.74,1,7,2,157,33
E Lewis (WI),2016-2022,53,52,3,1465,125*,29.89,964,151.97,2,10,4,108,111
SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
HG Munsey (SCOT),2015-2022,56,54,4,1438,127*,28.76,1016,141.53,1,9,5,172,58
SC Williams (ZIM),2006-2022,66,66,6,1429,66,23.81,1137,125.68,0,10,4,136,35
N Pooran (WI),2016-2022,72,64,8,1427,74*,25.48,1106,129.02,0,9,2,101,83
Shahid Afridi (ICC/PAK),2006-2018,99,91,12,1416,54*,17.92,944,150,0,4,8,103,73
Litton Das (BAN),2015-2022,65,64,1,1388,69,22.03,1077,128.87,0,8,4,137,43
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20
Asghar Afghan (AFG),2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69
RR Hendricks (SA),2014-2022,48,47,1,1372,74,29.82,1094,125.41,0,11,2,160,22
